Base Station,,,,,,,
Time (s),Easting (m),Northing (m),Elevation (m),,"E, Diff.from Avg.","N, Diff.from Avg.","Elev, Diff.from Avg."
356,668250.243,3034564.489,0.706,,0.071315999957733,0.123808002099395,0.276316
357,668252.812,3034566.704,1.924,,2.49768400005996,2.09119199775159,0.941684
358,668249.126,3034568.345,1.954,,1.188315999927,3.73219199804589,0.971684
359,668250.177,3034564.654,1.475,,0.137315999949351,0.041191997937858,0.492684
360,668248.315,3034565.222,0.058,,1.99931600003038,0.609191997908056,0.924316
361,668249.576,3034564.188,0.064,,0.738315999973565,0.424808002077043,0.918316
362,668247.671,3034563.975,1.96,,2.6433160000015,0.637808002065867,0.977684
363,668250.193,3034564.935,1.628,,0.121316000004299,0.32219199789688,0.645684
364,668249.817,3034565.423,1.108,,0.497315999935381,0.810191997792572,0.125684
365,668250.319,3034564.425,1.86,,0.004684000043198,0.187808002345264,0.877684
366,668248.511,3034562.147,1.537,,1.80331599991769,2.46580800227821,0.554684
367,668251.791,3034563.212,1.291,,1.47668399999384,1.40080800233409,0.308684
368,668247.463,3034564.02,0.607,,2.85131599998567,0.592808002140373,0.375316
369,668250.795,3034567.608,1.654,,0.480684000067413,2.99519199784845,0.671684
370,668250.585,3034564.697,1.987,,0.27068399998825,0.084191998001188,1.004684
371,668250.252,3034564.464,1.921,,0.062315999995917,0.148808002006263,0.938684
372,668250.18,3034563.928,0.197,,0.134315999923274,0.684808002319187,0.785316
373,668250.62,3034564.399,0.467,,0.305684000020847,0.213808001950383,0.515316
374,668253.557,3034562.653,1.399,,3.24268400005531,1.95980800222605,0.416684
375,668250.365,3034565.046,1.045,,0.05068400001619,0.433191997930408,0.062684
376,668252.16,3034563.268,0.018,,1.8456840000581,1.34480800200254,0.964316
377,668250.639,3034563.074,1.486,,0.324683999991976,1.53880800213665,0.503684
378,668249.493,3034563.275,1.172,,0.821315999957733,1.33780800225213,0.189684
379,668250.103,3034565.071,1.245,,0.211315999971703,0.458191997837275,0.262684
380,668249.851,3034563.253,1.163,,0.463315999950282,1.35980800213292,0.180684
381,668248.088,3034567.241,1.687,,2.22631599998567,2.62819199776277,0.704684
382,668251.776,3034563.999,0.482,,1.46168399997987,0.613808002322912,0.500316
383,668248.255,3034565.027,0.535,,2.05931599996984,0.414191997610033,0.447316
384,668250.4,3034562.382,0.939,,0.085684000048786,2.23080800194293,0.043316
385,668249.962,3034563.057,1.446,,0.352315999916755,1.5558080021292,0.463684
386,668250.282,3034564.73,0.631,,0.032315999967977,0.117191997822374,0.351316
387,668249.77,3034564.044,1.871,,0.54431599995587,0.568808001931757,0.888684
388,668251.512,3034562.087,0.542,,1.1976840000134,2.52580800233409,0.440316
389,668249.466,3034564.92,1.605,,0.848315999959596,0.307191997766495,0.622684
390,668250.17,3034564.663,0.476,,0.144315999932587,0.050191998016089,0.506316
391,668250.385,3034565.822,1.192,,0.070684000034817,1.20919199800119,0.209684
392,668249.86,3034563.607,1.537,,0.454315999988467,1.00580800231546,0.554684
393,668247.782,3034566.068,1.879,,2.53231599996798,1.4551919978112,0.896684
394,668249.592,3034565.079,1.056,,0.722316000028513,0.466191997751594,0.073684
395,668250.19,3034565.882,1.15,,0.124316000030376,1.26919199805707,0.167684
396,668252.611,3034567.463,0.279,,2.29668400005903,2.85019199782982,0.703316
397,668249.28,3034565.182,0.08,,1.03431599994656,0.569191997870803,0.902316
398,668250.447,3034564.669,1.463,,0.132684000069276,0.056191998068243,0.480684
399,668250.995,3034563.541,1.611,,0.680684000020847,1.07180800195783,0.628684
400,668252.923,3034562.773,1.007,,2.60868399997707,1.8398080021143,0.024684
401,668250.148,3034563.675,0.067,,0.166315999929793,0.937808002345264,0.915316
402,668253.864,3034563.523,0.228,,3.54968399996869,1.0898080021143,0.754316
403,668248.794,3034564.288,1.087,,1.52031599998008,0.324808001983911,0.104684
404,668249.703,3034565.476,1.59,,0.611315999994986,0.863191997632384,0.607684
405,668252.205,3034565.899,1.849,,1.89068399998359,1.28619199804962,0.866684
406,668247.853,3034563.608,0.164,,2.4613159999717,1.00480800215155,0.818316
407,668252.455,3034564.488,1.534,,2.14068399998359,0.124808002263308,0.551684
408,668252.039,3034563.513,0.904,,1.72468400001526,1.09980800235644,0.078316
409,668250.15,3034564.608,1.042,,0.164315999951214,0.004808002151549,0.059684
410,668249.555,3034564.435,0.178,,0.759315999923274,0.17780800210312,0.804316
411,668248.279,3034564.62,1.335,,2.03531599999405,0.007191997952759,0.352684
412,668250.071,3034564.257,0.622,,0.243315999978222,0.355808001942933,0.360316
413,668250.335,3034564.962,1.469,,0.020683999988251,0.349191997665912,0.486684
414,668249.489,3034562.864,0.246,,0.825316000031307,1.74880800209939,0.736316
415,668248.425,3034567.426,1.287,,1.88931599992793,2.81319199781865,0.304684
416,668250.127,3034562.504,0.853,,0.187315999995917,2.10880800196901,0.129316
417,668250.139,3034564.631,1.781,,0.175316000008024,0.018191997893155,0.798684
418,668251.169,3034564.22,0.838,,0.854684000019915,0.392808001954108,0.144316
419,668252.377,3034565.059,0.623,,2.06268400000408,0.446191997732967,0.359316
420,668250.274,3034565.14,1.349,,0.040315999998711,0.527191997971386,0.366684
421,668250.223,3034565.061,0.979,,0.091315999976359,0.448191998060793,0.003316
422,668249.607,3034565.743,0.6,,0.707316000014544,1.13019199762493,0.382316
423,668249.298,3034561.192,1.059,,1.01631600002293,3.42080800235271,0.076684
424,668253.471,3034565.391,1.096,,3.15668400004506,0.778191997669637,0.113684
425,668250.499,3034564.184,1.541,,0.184683999978006,0.428808002267033,0.558684
426,668249.353,3034561.878,1.097,,0.961315999971703,2.73480800213292,0.114684
427,668250.047,3034564.547,0.21,,0.267315999954008,0.065808002371341,0.772316
428,668248.593,3034567.054,1.159,,1.72131599998102,2.44119199784473,0.176684
429,668248.447,3034564.538,1.542,,1.86731599993072,0.074808001983911,0.559684
430,668249.802,3034564.767,0.069,,0.512315999949351,0.15419199783355,0.913316
431,668251.758,3034564.86,0.163,,1.44368400005624,0.247191997710615,0.819316
432,668250.845,3034566.53,1.152,,0.530683999997564,1.91719199763611,0.169684
433,668251.171,3034563.523,1.138,,0.856683999998495,1.0898080021143,0.155684
434,668252.468,3034566.667,0.153,,2.15368400001898,2.05419199774042,0.829316
435,668252.209,3034566.484,1.628,,1.89468400005717,1.87119199801236,0.645684
436,668251.117,3034564.394,1.545,,0.80268399999477,0.218808002304286,0.562684
437,668250.591,3034562.06,0.412,,0.276684000040404,2.55280800210312,0.570316
438,668252.172,3034565.903,1.009,,1.85768400004599,1.29019199777395,0.026684
439,668250.044,3034564.818,1.985,,0.270315999980085,0.205191997811198,1.002684
440,668249.501,3034565.918,0.879,,0.813315999926999,1.30519199790433,0.103316
441,668247.018,3034566.618,1.989,,3.29631599993445,2.00519199762493,1.006684
442,668248.455,3034562.098,1.368,,1.85931600001641,2.51480800192803,0.385684
443,668248.502,3034564.476,1.647,,1.81231599999592,0.136808002367616,0.664684
444,668250.301,3034563.177,0.631,,0.013315999996848,1.43580800201744,0.351316
445,668248.43,3034561.683,0.321,,1.88431599992327,2.92980800196528,0.661316
446,668250.266,3034564.544,0.027,,0.048316000029445,0.068808001931757,0.955316
447,668250.945,3034564.192,0.262,,0.630683999974281,0.420808002352715,0.720316
448,668250.059,3034564.703,1.999,,0.255315999966115,0.090191998053342,1.016684
449,668252.481,3034565.661,1.876,,2.16668400005437,1.04819199768826,0.893684
450,668248.774,3034561.463,1.484,,1.54031599999871,3.14980800217018,0.501684
451,668253.316,3034563.459,0.243,,3.00168400001712,1.15380800236017,0.739316
452,668251.776,3034567.485,0.322,,1.46168399997987,2.87219199771062,0.660316
453,668249.409,3034564.866,1.455,,0.905315999989398,0.253191997762769,0.472684
454,668250.83,3034565.24,0.395,,0.515683999983594,0.627191998064518,0.587316
455,668252.473,3034565.915,0.718,,2.15868400002364,1.30219199787825,0.264316
456,668250.149,3034564.768,0.195,,0.165315999998711,0.155191997997463,0.787316
457,668250.023,3034565.645,0.014,,0.291315999929793,1.03219199785963,0.968316
458,668247.759,3034562.342,1.185,,2.55531600001268,2.27080800198019,0.202684
459,668250.447,3034564.742,0.674,,0.132684000069276,0.129191997926682,0.308316
460,668249.694,3034561.955,0.154,,0.620315999956802,2.65780800208449,0.828316
461,668251.974,3034562.844,1.73,,1.65968400007114,1.76880800211802,0.747684
462,668250.868,3034564.236,1.806,,0.553684000042267,0.376808002125472,0.823684
463,668250.566,3034563.761,0.026,,0.251684000017121,0.851808002218604,0.956316
464,668250.165,3034565.095,1.97,,0.149315999937244,0.482191998045892,0.987684
465,668252.12,3034562.637,1.502,,1.80568400002085,1.97580800205469,0.519684
466,668249.983,3034564.289,1.313,,0.331315999967046,0.323808002285659,0.330684
467,668249.842,3034567.119,0.978,,0.472316000028513,2.50619199778885,0.004316
468,668248.035,3034566.142,0.991,,2.2793159999419,1.52919199783355,0.008684
469,668249.528,3034561.652,0.382,,0.786315999925137,2.96080800238997,0.600316
470,668250.757,3034565.463,0.445,,0.44268400000874,0.850191997829825,0.537316
471,668249.654,3034563.311,0.287,,0.660315999994054,1.30180800193921,0.695316
472,668248.968,3034566.057,1.857,,1.34631599998102,1.4441919978708,0.874684
473,668246.656,3034566.183,1.199,,3.65831600001547,1.57019199803472,0.216684
474,668252.57,3034562.726,1.773,,2.25568399997428,1.88680800236762,0.790684
475,668250.782,3034563.021,0.807,,0.467684000032023,1.59180800197646,0.175316
476,668249.307,3034562.279,1.397,,1.00731599994469,2.33380800206214,0.414684
477,668250.134,3034564.876,0.295,,0.180316000012681,0.263191998004913,0.687316
478,668247.41,3034564.031,1.257,,2.9043159999419,0.581808002199978,0.274684
479,668253.329,3034562.609,0.94,,3.01468400005251,2.00380800198764,0.042316
480,668249.504,3034565.069,1.105,,0.810316000017338,0.456191997975111,0.122684
481,668253.961,3034564.487,0.756,,3.64668400003575,0.125808001961559,0.226316
482,668247.913,3034563.108,1.955,,2.40131600003224,1.50480800215155,0.972684
483,668254.093,3034564.755,0.666,,3.77868400001898,0.142191997729242,0.316316
484,668251.13,3034566.217,1.685,,0.81568400003016,1.60419199801981,0.702684
485,668251.478,3034564.563,1.193,,1.1636840000283,0.049808002077043,0.210684
486,668247.841,3034565.75,1.62,,2.4733159999596,1.137191997841,0.637684
487,668249.508,3034566.863,1.545,,0.806315999943763,2.25019199773669,0.562684
488,668249.617,3034564.346,0.244,,0.69731600000523,0.266808002255857,0.738316
489,668250.669,3034566.335,0.09,,0.354684000019915,1.72219199780375,0.892316
490,668252.239,3034564.661,0.209,,1.92468399996869,0.048191997688264,0.773316
491,668248.718,3034563.799,1.235,,1.59631599998102,0.813808002043515,0.252684
492,668250.975,3034563.376,1.774,,0.66068400000222,1.23680800199509,0.791684
493,668250.445,3034567.342,0.379,,0.130683999974281,2.72919199801981,0.603316
494,668252.632,3034563.738,0.168,,2.31768400000874,0.874808002263308,0.814316
495,668249.447,3034563.053,1.425,,0.867315999930725,1.55980800231919,0.442684
496,668249.388,3034565.299,1.03,,0.926315999939106,0.686191997956485,0.047684
497,668252.265,3034563.398,0.981,,1.95068400003947,1.2148080021143,0.001316
498,668248,3034566.407,1.784,,2.3143159999745,1.79419199796394,0.801684
499,668250.016,3034563.146,0.309,,0.298316000029445,1.46680800197646,0.673316
500,668251.339,3034565.333,1.526,,1.02468400006183,0.720191997941583,0.543684
Average,668250.314316,3034564.612808,0.982316,,,,
